번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
11,개념 이해형,바이브 코딩 시대에 '코딩 문법'의 위상은?,무조건 암기해야 함,원리와 구조 이해 위주로 변화,완전히 불필요함,디자인 요소로 변화,1,도구 활용 능력이 더 중요해요,문법을 직접 치기보다 AI가 짠 코드를 읽고 이해하는 수준이 중요합니다.,암기보다는 검색과 도구 활용이 더 효율적인 시대입니다.,코드의 최소한의 구조를 모르면 AI의 오류를 잡을 수 없습니다.,문법은 디자인이 아닌 프로그램의 작동 규칙입니다.
12,개념 이해형,AI가 작성한 코드를 확인하고 승인하는 역할은 누구인가?,AI 자신,인간 개발자,컴퓨터 본체,운영체제,1,최종 결정권자는 사람이에요,AI는 제안할 뿐  의도에 맞는지 판단하고 책임지는 것은 인간입니다.,AI는 스스로의 오류를 완벽히 인지하지 못할 때가 많습니다.,하드웨어 기계는 코드의 논리적 옳고 그름을 판단하지 않습니다.,시스템은 코드를 실행할 뿐  기획 의도에 부합하는지 모릅니다.
13,개념 이해형,LLM 기반 개발에서 '컨텍스트(Context)'란 무엇인가?,컴퓨터 전원,대화의 맥락과 배경 정보,마우스의 위치,화면 밝기,1,대화 흐름을 기억해요,AI가 이전 대화나 전체 코드 구조를 기억하고 답변에 반영하는 능력입니다.,물리적인 에너지 공급원과는 관계가 없는 용어입니다.,입력 장치의 좌표는 대화의 맥락과 무관합니다.,모니터의 시각적 설정값은 논리적 맥락이 아닙니다.
14,개념 이해형,바이브 코딩이 교육적으로 주는 가장 큰 가치는?,타자 연습,누구나 창작자가 되는 경험 제공,영어 단어 암기,수학 공식 대입,1,상상을 현실로 만들어요,전문 지식이 부족해도 자신의 아이디어를 앱으로 만들 수 있게 합니다.,자판을 빨리 치는 것은 바이브 코딩의 목표가 아닙니다.,영어 실력 향상보다는 문제 해결 능력 향상에 집중합니다.,공식 대입을 넘어선 창의적 기획과 디렉팅이 더 중요합니다.
15,개념 이해형,AI에게 '전문적인 개발자'처럼 행동하라고 시키는 것은?,협박,페르소나(Persona) 설정,단순 질문,시스템 종료,1,역할을 정해주는 거예요,AI에게 특정 역할을 부여하여 답변의 전문성과 톤을 조절하는 기법입니다.,AI는 감정이 없으므로 협박은 효과적인 지시 방법이 아닙니다.,구체적인 설정 없이 묻는 것은 페르소나 활용이 아닙니다.,프로그램을 끄는 기능적 명령과는 무관합니다.
16,개념 이해형,바이브 코딩 도구 중 'Agent'형 도구의 특징은?,수동적 답변,자율적인 문제 해결 및 실행 수행,이미지 저장만 함,계산기 기능만 함,1,스스로 계획을 세워요,목표만 주면 AI가 스스로 단계를 나누고 코드를 실행하며 완성합니다.,묻는 말에만 답하는 것은 초기 단계의 챗봇 모델입니다.,에이전트는 파일 관리뿐만 아니라 코드 작성과 실행을 모두 수행합니다.,훨씬 더 복잡한 논리 연산과 창작 업무를 수행합니다.
17,개념 이해형,AI 코딩 중 '토큰(Token)' 제한이 의미하는 것은?,컴퓨터 배터리,한 번에 처리 가능한 정보의 양,키보드 키의 개수,인터넷 속도,1,AI의 기억력 한계와 관련돼요,AI가 한 번에 읽거나 답변할 수 있는 텍스트 길이에 한계가 있음을 뜻합니다.,에너지 잔량과는 관계없는 데이터 처리 단위입니다.,물리적인 하드웨어 자판 개수와는 무관합니다.,데이터를 전송하는 속도가 아닌  처리하는 양의 단위입니다.
20,개념 이해형,바이브 코딩에서 '자연어'란 무엇인가?,프로그래밍 언어,사람이 일상적으로 쓰는 언어,기계어,0과 1의 조합,1,우리가 쓰는 말이에요,한국어  영어 등 인간이 소통을 위해 사용하는 언어를 의미합니다.,파이썬  자바스크립트 등 기계와 소통하기 위한 규칙입니다.,컴퓨터 CPU가 직접 이해하는 최하위 단계의 언어입니다.,기계어의 이진법적 표현 방식입니다.
21,개념 이해형,AI 코딩 도구를 사용할 때 '프롬프트'란 무엇인가?,마우스 커서,AI에게 내리는 지시문,전원 버튼,화면 보호기,1,AI에게 보내는 메시지예요,사용자가 AI의 답변을 유도하기 위해 입력하는 모든 텍스트입니다.,화면 위의 위치를 가리키는 시각적 포인터입니다.,하드웨어 장치를 켜고 끄는 스위치입니다.,일정 시간 작동이 없을 때 나타나는 시각 효과입니다.
23,개념 이해형,AI가 제안한 코드가 내 의도와 다를 때 취해야 할 행동은?,코딩 포기,구체적인 요구사항과 함께 재지시,AI를 칭찬하기,그냥 놔두기,1,다시 소통하면 돼요,무엇이 틀렸는지 피드백을 주고 다시 수정을 요청해야 합니다.,한 번 실패했다고 포기하면 바이브 코딩의 이점을 누릴 수 없습니다.,칭찬만으로는 잘못된 코드가 자동으로 고쳐지지 않습니다.,방치하면 원하는 프로그램을 완성할 수 없습니다.
25,개념 이해형,AI 네이티브 IDE와 일반 메모장의 차이점은?,글자 색깔,LLM 서버와의 직접적인 연동,설치 용량,실행 속도,1,AI와 대화할 수 있는 창이 있어요,개발 환경 내부에서 AI와 바로 대화하며 코드를 수정할 수 있습니다.,일반 메모장도 확장 프로그램에 따라 글자 색을 바꿀 수 있습니다.,단순히 설치 크기가 크다고 해서 AI IDE인 것은 아닙니다.,속도보다는 AI를 통한 '개발 편의성'이 핵심 차이점입니다.
27,개념 이해형,AI 기반 개발에서 '오픈 소스' 데이터의 역할은?,AI의 디자인 변경,AI가 코딩을 배우는 학습 데이터의 원천,전력 공급,하드웨어 수리,1,AI가 공부한 책들이에요,전 세계 개발자들이 공개한 방대한 코드를 학습해 지능을 갖추게 됩니다.,외형을 바꾸는 테마 설정과는 다른 개념입니다.,소프트웨어 데이터이므로 물리적 전기를 공급하지 않습니다.,무형의 데이터이므로 부서진 하드웨어를 고칠 수 없습니다.
29,개념 이해형,바이브 코딩 교육에서 강조하는 '디렉팅' 역량이란?,영화 감독 되기,AI를 효과적으로 부리고 통제하는 능력,무조건 직접 코딩하기,디자인만 하기,1,AI를 잘 이끌어야 해요,AI가 내 기획 의도에서 벗어나지 않게 조절하고 결정하는 능력입니다.,예술 영역의 감독직 자체를 의미하는 것은 아닙니다.,디렉팅은 직접 치는 것보다 '시키는 것'에 더 가깝습니다.,디렉팅은 디자인뿐만 아니라 기능  로직 전체를 아우릅니다.
30,개념 이해형,바이브 코딩이 미래 사회에 미칠 영향으로 적절한 것은?,개발자가 사라짐,누구나 자신의 아이디어를 소프트웨어로 구현,코딩 교육의 폐지,컴퓨터 사용량 감소,1,상상이 소프트웨어가 되는 시대,기술적 장벽이 사라져 창의적인 생각을 가진 누구나 창작자가 됩니다.,개발자는 사라지는 것이 아니라 AI를 다루는 전문가로 진화합니다.,교육은 폐지되는 것이 아니라 활용 교육으로 패러다임이 변합니다.,더 많은 사람이 개발을 하게 되므로 사용량은 오히려 늘어날 수 있습니다.
