번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
101,기술 실무,인터넷 주소창의 'https://'에서 SSL/TLS 암호화가 적용되었음을 나타내는 문자는?,h,s (Secure),p,t,1,주소창의 자물쇠를 확인하세요,보안 연결(Secure)이 적용되어 데이터 전송이 암호화되고 있음을 뜻합니다.,하이퍼텍스트(Hypertext)의 약자 중 일부입니다.,프로토콜(Protocol)을 의미하는 약자 중 일부입니다.,전송(Transfer)을 의미하는 약자 중 일부입니다.
102,기술 실무,웹 브라우저에서 F12를 눌러 여는 '개발자 도구'의 주요 기능이 아닌 것은?,소스 코드 확인,실시간 CSS 수정 테스트,컴퓨터 하드웨어 수리,콘솔 에러 메시지 확인,2,소프트웨어 점검 도구예요,물리적인 부품을 고치는 기능은 포함되어 있지 않습니다.,현재 페이지의 HTML과 JS 코드를 살펴볼 수 있습니다.,스타일을 실시간으로 바꿔보며 디자인을 실험할 수 있습니다.,프로그램 실행 중 발생하는 오류 정보를 확인할 수 있습니다.
103,기술 실무,데이터를 암호화한 후  다시 원래 내용으로 되돌리는 과정을 무엇이라 하는가?,복호화(Decryption),인코딩(Encoding),압축(Zip),삭제(Delete),0,암호를 푸는 열쇠가 필요해요,암호화된 코드를 읽을 수 있는 평문으로 다시 변환하는 작업입니다.,데이터를 특정 형식으로 변환하는 것이지 보안을 위해 잠그는 것과는 다릅니다.,용량을 줄이는 작업이지 내용을 숨기는 것이 주 목적은 아닙니다.,정보를 없애는 것이지 되돌리는 과정이 아닙니다.
104,기술 실무,로컬 스토리지에 저장된 데이터를 가져오는 자바스크립트 명령어는?,localStorage.setItem(),localStorage.getItem(),localStorage.clear(),localStorage.removeItem(),1,정보를 가져올 땐 Get!,저장소에 저장된 특정 키(Key)의 값을 읽어올 때 사용합니다.,저장소에 새로운 데이터를 저장(Set)할 때 사용합니다.,저장소의 모든 데이터를 한꺼번에 지울 때 사용합니다.,저장소의 특정 데이터 하나만 골라서 지울 때 사용합니다.
105,기술 실무,반응형 웹 디자인(Responsive Web Design)'의 목적은?,웹 페이지 속도를 늦추기 위해,기기의 화면 크기에 따라 레이아웃이 자동으로 최적화되게 하기 위해,유료 결제를 유도하기 위해,해킹을 방지하기 위해,1,모바일에서도 잘 보여요,PC  태블릿  모바일 등 다양한 화면 크기에서 사용자에게 최적의 화면을 제공합니다.,속도 저하가 아닌 사용자 편의성 증대가 목적입니다.,결제 유도가 아닌 콘텐츠의 가독성을 높이기 위한 기술입니다.,화면 배치 기술이지 네트워크 보안 기술이 아닙니다.
106,기술 실무,이미지 파일 확장자 중 투명한 배경(Alpha Channel)을 지원하는 형식은?,JPG,PNG,BMP,TXT,1,로고나 캐릭터 배경 지울 때!,투명 배경을 지원하여 웹 디자인에서 요소를 겹쳐 배치할 때 필수적입니다.,압축률은 좋지만 투명 배경을 지원하지 않는 사진 표준 형식입니다.,오래된 비트맵 형식으로 투명도 지원이 제한적이고 용량이 큽니다.,그림이 아닌 글자 정보만 담는 텍스트 파일입니다.
107,기술 실무,자바스크립트에서 setInterval 함수의 역할은?,프로그램을 즉시 종료,특정 시간 간격마다 코드를 반복 실행,마우스 클릭 차단,배경음악의 볼륨 조절,1,시계나 애니메이션에 써요,정해진 밀리초(ms)마다 지정한 함수를 계속해서 호출합니다.,프로그램 실행 흐름을 제어하는 것이지 강제 종료 기능은 아닙니다.,입력 이벤트를 차단하는 보안 함수가 아닙니다.,볼륨 조절은 오디오 객체의 속성을 변경해야 합니다.
108,기술 실무,웹 페이지 제작 시 외부 라이브러리를 불러오기 위해 사용하는 태그는?,<p>,<script>,<h1>,<a>,1,대본(Script)을 불러와요,자바스크립트 파일을 연결하거나 직접 코드를 작성하는 태그입니다.,본문의 문단을 정의하는 태그입니다.,제목(Heading)을 나타내는 태그입니다.,다른 페이지로 이동하는 링크를 만드는 태그입니다.
109,기술 실무,데이터 암호화 방식 중 '대칭키' 암호화의 특징은?,암호화와 복호화에 같은 키를 사용,키가 필요 없음,암호화만 가능하고 복호화는 불가능,종이에 써서 보관해야 함,0,열쇠 하나로 잠그고 열기,암호화할 때와 풀 때 같은 비밀번호를 사용하므로 키 관리가 매우 중요합니다.,모든 암호화에는 최소한의 논리적 키가 필요합니다.,복호화가 불가능한 것은 '해시(Hash)' 방식입니다.,디지털 방식이며 보관 장소는 사용자의 선택입니다.
110,기술 실무,사용자가 브라우저에 입력한 값을 서버로 전송하기 전에 확인하는 과정은?,유효성 검사(Validation),파일 복제,컴퓨터 포맷,화면 캡처,0,형식이 맞는지 확인해요,이메일 주소에 @가 있는지  비어있지는 않은지 등을 미리 점검하는 것입니다.,데이터 전송 전 검증 단계이지 복제가 목적이 아닙니다.,시스템 초기화는 데이터 전송과는 극단적으로 다른 작업입니다.,시각적 기록이지 데이터 논리 검증이 아닙니다.
111,기술 실무,HTML 문서 내에서 CSS를 작성하는 <style> 태그는 주로 어디에 위치하는가?,<body> 끝부분,<head> 안쪽,문서 맨 마지막,태그 외부,1,머리(Head) 부분에 정의해요,페이지가 로드될 때 스타일 정보를 미리 읽어 렌더링하기 위해 권장되는 위치입니다.,본문 내용과 스타일이 섞이면 관리가 어려워 권장되지 않습니다.,HTML 구조 밖에는 스타일 태그를 쓸 수 없습니다.,태그 외부는 유효한 HTML 영역이 아닙니다.
112,기술 실무,Base64로 인코딩된 이미지 데이터를 HTML에서 보여주는 올바른 코드는?,"<img src=""data:image/png;base64 ..."">","<link href=""..."">","<a href=""..."">","<input type=""..."">",0,이미지 태그의 소스(src)로!,data URI 스킴을 사용하여 텍스트화된 이미지 데이터를 직접 표시합니다.,주로 CSS 파일이나 아이콘 파일을 연결할 때 씁니다.,클릭 시 이동하는 링크를 만들 때 씁니다.,사용자 입력을 받는 칸을 만들 때 씁니다.
113,기술 실무,자바스크립트에서 '비동기 처리(Asynchronous)'가 필요한 이유는?,코드를 순서대로만 실행하기 위해,데이터를 가져오는 동안 화면이 멈추지 않게 하기 위해,글자 크기를 키우기 위해,컴퓨터 전원을 아끼기 위해,1,기다리는 동안 딴 일도 해요,용량이 큰 데이터를 불러올 때 웹 페이지 전체가 먹통이 되는 것을 방지합니다.,비동기는 순차 처리가 아닌 병렬적 처리를 지향합니다.,시각적 디자인 요소와는 직접적인 관계가 없습니다.,처리 방식의 차이일 뿐 전력 소모 절감이 주 목적은 아닙니다.
114,기술 실무,텍스트 파일 저장 시 한글 깨짐을 방지하기 위한 가장 표준적인 인코딩은?,ASCII,UTF-8,ANSI,EUC-KR,1,전 세계 언어 표준이에요,유니코드를 지원하여 한글을 포함한 전 세계 문자를 안전하게 표시합니다.,영문과 숫자만 지원하여 한글은 모두 깨지게 됩니다.,윈도우 표준이나 언어 설정에 따라 한글이 깨질 확률이 높습니다.,한국어 전용 방식이지만 최신 웹 표준은 UTF-8을 권장합니다.
115,기술 실무,웹에서 특정 구역을 숨겼다가 나타나게 할 때 사용하는 CSS 속성은?,color,display: none / block,font-size,margin,1,보여줄까(Block) 말까(None),요소를 화면에서 완전히 제거하거나 다시 나타나게 할 때 가장 많이 씁니다.,글자의 색상만 바꿀 뿐 요소를 숨기지는 못합니다.,글자 크기만 조절할 뿐 요소의 존재 여부와는 무관합니다.,바깥쪽 여백만 조절할 뿐 요소를 숨기지는 못합니다.
116,기술 실무,CSV 파일 데이터를 자바스크립트에서 활용하기 위해 가장 먼저 해야 할 일은?,파일 삭제,쉼표( )를 기준으로 문자열 분리(split),그림으로 변환,소리로 읽어주기,1,데이터를 쪼개서 정리해요,하나의 긴 문자열을 배열 데이터로 바꾸어 프로그램에서 쓰기 좋게 만듭니다.,활용하기 위한 단계인데 삭제하면 안 됩니다.,데이터 파일은 시각적 이미지가 아닌 논리적 정보입니다.,TTS 기능과 데이터 활용은 별개의 단계입니다.
117,기술 실무,브라우저의 '캐시(Cache)' 기능을 사용하는 주된 목적은?,해킹 시도,동일한 자원을 다시 받을 때 속도를 높이기 위해,컴퓨터 용량 줄이기,비밀번호 저장,1,이미 본 건 빨리 보여줘요,한 번 다운로드한 이미지나 파일을 임시 저장해 두어 재접속 시 빠르게 보여줍니다.,캐시는 보안 위협이 아닌 성능 향상을 위한 기술입니다.,오히려 임시 파일을 저장하므로 디스크 용량을 미세하게 차지합니다.,비밀번호는 캐시가 아닌 별도의 암호 관리자나 세션에서 관리합니다.
118,기술 실무,자바스크립트에서 문자열을 숫자로 변환하는 함수는?,String(),parseInt() 또는 Number(),Math.floor(),Boolean(),1,"글자 ""10""을 숫자 10으로!","""123"" 같은 텍스트 데이터를 연산이 가능한 숫자 타입으로 바꿉니다.",숫자를 다시 문자열로 바꾸는 정반대의 기능을 합니다.,숫자의 소수점을 버리고 정수로 만드는 함수입니다.,데이터를 참(True) 또는 거짓(False)으로 변환하는 함수입니다.
119,기술 실무,웹 페이지 로딩 시 자바스크립트가 가장 마지막에 실행되도록 설정하는 키워드는?,async,defer,break,final,1,HTML 다 읽고 시작해!,HTML 파싱이 끝난 후 스크립트가 실행되게 하여 페이지 로딩 속도를 개선합니다.,스크립트를 비동기적으로 로드하여 실행 순서가 바뀔 수 있습니다.,반복문을 중단할 때 사용하는 제어문입니다.,자바스크립트의 표준 예약어가 아니거나 다른 용도로 쓰입니다.
120,기술 실무,바이브 코딩으로 만든 앱을 친구에게 전달할 때 '단일 HTML' 방식이 좋은 이유는?,파일 용량이 무한대라서,파일 하나에 모든 코드(HTML  CSS  JS)가 있어 공유와 실행이 매우 간편해서,보안이 절대적으로 완벽해서,동영상을 무제한으로 넣을 수 있어서,1,복사-붙여넣기만 하면 끝!,별도의 서버 설정이나 복잡한 파일 구조 없이 파일 한 장으로 작동하기 때문입니다.,텍스트 데이터의 한계로 파일 용량은 제한적입니다.,코드가 공개되어 있으므로 절대적인 보안을 보장하지는 않습니다.,동영상은 파일 크기 문제로 단일 HTML에 포함하기 어렵습니다.
