번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
135,숏폼 기획,ElevenLabs와 같이 목소리를 학습시켜 특정인의 목소리를 재현하는 기술은?,Voice Cloning (목소리 복제),Deepfake Image,Text generation,Motion Capture,0,목소리(Voice) 복제 기술이에요,음성 샘플을 분석하여 특정 인물의 목소리를 그대로 재현합니다.,얼굴을 합성하는 기술입니다.,글을 쓰는 생성 기술입니다.,몸짓을 데이터로 기록하는 기술입니다.
136,숏폼 기획,영상 제작 전 전체적인 흐름과 장면 구성을 시각화하는 단계는?,스토리보드(Storyboard) 작성,최종 인코딩,채널 개설,댓글 관리,0,미리 그림으로 그려봐요,장면별 연출 구도 자막 등을 미리 설계하여 제작 효율을 높입니다.,제작 완료 후 파일화하는 단계입니다.,완성 후 업로드할 플랫폼 준비 단계입니다.,영상 배포 후 독자와 소통하는 사후 관리 단계입니다.
137,숏폼 기획,숏폼 영상 하단에 구독 좋아요 구매 등을 유도하는 문구나 버튼을 무엇이라 하는가?,CTA (Call to Action),GPS,FAQ,HTML,0,행동(Action)을 요청(Call)해요,시청자에게 특정 행동을 명확하게 요구하여 전환율을 높입니다.,위치 정보를 나타내는 기술 약어입니다.,자주 묻는 질문 모음입니다.,웹 문서를 만드는 마크업 언어입니다.
138,숏폼 기획,영상의 해상도가 낮을 때 AI를 이용해 화질을 개선하는 작업은?,AI Upscaling (업스케일링),Downsampling,Cropping,Format change,0,화질을 위(Up)로 올려요,부족한 픽셀을 AI가 채워 넣어 선명한 고화질 영상으로 바꿔줍니다.,화질을 일부러 낮추는 작업입니다.,화면의 일부를 잘라내는 작업입니다.,파일 확장자를 바꾸는 작업입니다.
139,숏폼 기획,텍스트 기반 영상 편집(Text-based editing)의 특징은?,영상 속 음성을 텍스트로 변환 후 텍스트를 지우면 영상도 잘리는 방식,마우스로만 모든 편집을 하는 방식,코딩을 해서 영상을 만드는 방식,종이에 글을 써서 영상에 붙이는 방식,0,글자를 지우면 영상도 지워져요,문서 편집하듯 자막을 수정하면 영상 프레임이 자동 조절되는 편리한 방식입니다.,기존의 노가다성 수동 편집 방식입니다.,프로그래밍 영역의 고난도 작업입니다.,아날로그 방식의 수작업입니다.
140,숏폼 기획,숏폼 콘텐츠의 썸네일(Thumbnail) 기획 시 가장 중요한 요소는?,한눈에 들어오는 강렬한 이미지와 제목,아주 작은 글씨,아무것도 없는 배경,제작자의 증명사진,0,작은 이미지지만 눈에 띄어야 해요,수많은 영상 사이에서 클릭을 유도할 수 있는 강렬한 첫인상이 필요합니다.,모바일 환경에서 읽기 힘든 작은 글씨는 피해야 합니다.,정보가 너무 없으면 관심을 끌기 어렵습니다.,주제와 상관없는 사진은 신뢰도를 떨어뜨립니다.
141,숏폼 기획,영상의 오디오에서 노이즈를 제거하고 목소리를 선명하게 해주는 AI 서비스는?,Adobe Podcast (Enhance Speech),Midjourney,D-ID,Sora,0,스튜디오 녹음처럼 만들어줘요,주변 소음이 섞인 음성도 깨끗한 전문가급 음질로 보정해줍니다.,이미지 생성 도구입니다.,말하는 사진(아바타) 제작 도구입니다.,고성능 영상 생성 도구입니다.
142,숏폼 기획,트렌드 음원(Trending Audio)을 활용하여 영상을 제작했을 때의 장점은?,알고리즘의 선택을 받을 확률이 높아짐,영상 용량이 획기적으로 줄어듦,편집 시간이 10배로 늘어남,영상 화질이 좋아짐,0,유행하는 노래가 노출에 좋아요,플랫폼 알고리즘이 인기 음원을 사용한 영상을 더 적극적으로 추천합니다.,용량 절감과는 상관없는 요소입니다.,편집 시간과는 직접적인 관련이 없습니다.,화질과는 무관한 오디오 요소입니다.
143,숏폼 기획,영상 소스 제작 시 미드저니(Midjourney)를 활용하기에 가장 적합한 단계는?,고퀄리티 배경 이미지나 캐릭터 소스 생성,영상의 최종 자막 검수,배경 음악 작곡,실시간 스트리밍 송출,0,영상에 들어갈 멋진 그림을 그려요,환상적인 배경이나 컨셉에 맞는 캐릭터 이미지를 제작하는 데 최적입니다.,텍스트 AI가 해야 할 역할입니다.,오디오 AI가 해야 할 역할입니다.,송출 소프트웨어의 역할입니다.
144,숏폼 기획,숏폼 콘텐츠 기획 시 타겟 시청자를 구체화하는 과정을 무엇이라 하는가?,페르소나(Persona) 설정,서버 구축,보안 설정,디버깅,0,가상의 주인공을 만들어봐요,나의 영상을 볼 핵심 타겟의 특성을 상세히 정의하여 기획에 반영합니다.,IT 인프라 구축 영역입니다.,데이터 보호 영역입니다.,오류를 수정하는 프로그래밍 영역입니다.
145,숏폼 기획,영상 편집 시 장면 전환(Transition) 효과를 과도하게 사용할 때의 단점은?,시청자의 몰입을 방해하고 어지러움을 줄 수 있음,영상의 예술적 가치가 무조건 상승함,영상 길이를 2배로 늘려줌,AI가 인식을 못 함,0,너무 화려하면 눈이 아파요,과한 효과는 오히려 콘텐츠 본연의 메시지 전달을 방해하고 피로감을 줍니다.,오히려 촌스럽거나 조잡해 보일 위험이 큽니다.,효과 시간만큼 늘어나긴 하지만 배가 되지는 않습니다.,AI 기술과는 무관한 연출의 문제입니다.
146,숏폼 기획,텍스트를 영상으로 변환할 때 장면의 역동성을 조절하는 '카메라 컨트롤' 기능의 역할은?,줌(Zoom) 팬(Pan) 틸트(Tilt) 등 카메라 움직임 지정,영상의 가로세로 비율만 변경,음악의 볼륨만 조절,자막의 폰트만 변경,0,카메라가 어떻게 움직일지 정해요,AI 영상에서 카메라 워킹을 세밀하게 조절하여 영화 같은 연출을 가능케 합니다.,리사이징이나 설정의 영역입니다.,오디오 믹싱의 영역입니다.,텍스트 스타일 설정 영역입니다.
147,숏폼 기획,AI 숏폼 제작의 가장 큰 장점은?,제작 시간과 비용의 혁신적 단축,무조건 100만 조회수 보장,컴퓨터 없이 제작 가능,기획 단계가 아예 필요 없음,0,엄청나게 빨리 만들 수 있어요,과거 며칠씩 걸리던 작업을 단 몇 분 만에 끝낼 수 있어 생산성이 매우 높습니다.,조회수는 운과 전략의 복합적인 결과입니다.,여전히 모바일이나 PC 환경이 필수적입니다.,AI를 잘 쓰기 위한 기획은 오히려 더 중요해졌습니다.
148,숏폼 기획,영상의 길이를 플랫폼 권장 시간에 맞추는 '리사이징(Resizing)'의 주된 이유는?,각 플랫폼 알고리즘에 최적화된 노출을 위해,영상의 색상을 바꾸기 위해,오디오를 끄기 위해,삭제된 파일을 복구하기 위해,0,각 플랫폼 형식을 따라야 해요,플랫폼이 선호하는 최적의 형식을 지켜야 더 많은 사람에게 노출될 기회를 얻습니다.,색상 변경과는 무관한 용어입니다.,오디오 조절과는 무관한 용어입니다.,파일 복구 기능이 아닙니다.
149,숏폼 기획,배경 음악을 생성해 주는 대표적인 AI 서비스는?,Suno,Sora,ChatGPT,Canva,0,멋진 노래를 만들어줘요,분위기와 가사 입력만으로 고품질의 완성된 노래를 즉석에서 생성합니다.,영상 생성 위주의 서비스입니다.,텍스트 생성 중심의 서비스입니다.,디자인 제작 중심의 플랫폼입니다.
150,숏폼 기획,실시간 데이터 기반 트렌드 분석에 유리한 AI 도구는?,ChatGPT(무료버전),Grok,Midjourney,Stable Diffusion,1,일론 머스크의 엑스(X) 데이터를 써요,실시간 소셜 미디어 데이터를 직접 분석하여 현재 유행을 파악하는 데 강력합니다.,학습 데이터 컷오프로 실시간 정보 반영이 늦을 수 있습니다.,이미지 생성 도구입니다.,이미지 생성 오픈 소스입니다.
