번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
11,개념 이해형,시행착오를 통해 보상을 최대화하는 방향으로 학습하는 방식(예: 게임 AI)은?,지도 학습,비지도 학습,강화 학습,전이 학습,2,점수를 더 많이 얻으려고 노력해요,교사가 정답을 알려주는 학습 방식입니다.,데이터의 숨겨진 패턴만 찾습니다.,환경과 상호작용하며 보상을 얻는 법을 스스로 깨닫습니다.,지식을 다른 분야로 옮겨 적용하는 것입니다.
12,개념 이해형,AI 모델의 성능을 결정하는 중요한 요소로 뇌의 시냅스와 유사한 역할을 하는 '매개변수'를 뜻하는 용어는?,파라미터(Parameter),토큰(Token),픽셀(Pixel),비트(Bit),0,이 숫자가 많을수록 보통 더 똑똑해요,학습을 통해 조정되는 수치로 모델의 지능 수준을 결정합니다.,텍스트 처리의 최소 단위입니다.,이미지를 구성하는 최소 단위입니다.,데이터를 나타내는 최소 단위입니다.
13,개념 이해형,자연어 처리 모델에서 텍스트를 처리하는 최소 단위를 무엇이라 하는가?,토큰(Token),캐릭터,단어,문장,0,문장을 잘게 쪼갠 조각이에요,AI가 텍스트를 숫자로 변환하여 처리하는 기본 단위입니다.,글자 한 자 한 자를 의미합니다.,토큰의 구성 방식에 따라 다르게 정의되는 상위 개념입니다.,토큰으로 이루어진 전체 문장 단위입니다.
14,개념 이해형,생성형 AI가 텍스트를 생성할 때 다음에 올 단어를 예측하는 원리는?,확률적 예측,절대적 암기,사전 검색,수동 입력,0,가장 잘 어울리는 단어를 골라요,맥락을 보고 다음에 올 확률이 가장 높은 단어를 선택합니다.,AI는 내용을 암기하는 것이 아니라 생성하는 것입니다.,매번 사전을 검색하여 답변을 만드는 것이 아닙니다.,사람이 실시간으로 입력해주는 것이 아닙니다.
15,개념 이해형,2022년 말 출시되어 전 세계적으로 생성형 AI 열풍을 일으킨 챗봇의 이름은?,ChatGPT,AlphaGo,Siri,Bixby,0,OpenAI에서 만들었어요,대화형 인터페이스로 생성형 AI를 대중화시킨 도구입니다.,구글 딥마인드에서 만든 바둑 특화 AI입니다.,애플의 음성 인식 비서 서비스입니다.,삼성전자의 지능형 비서 서비스입니다.
16,개념 이해형,ChatGPT를 개발한 인공지능 연구소의 이름은?,Google,Microsoft,OpenAI,Meta,2,샘 알트만이 대표로 있어요,OpenAI는 GPT 시리즈를 개발한 선도적인 연구소입니다.,구글은 제미나이(Gemini)를 개발했습니다.,마이크로소프트는 OpenAI의 최대 투자사입니다.,메타는 오픈 소스 모델인 라마(Llama)를 개발했습니다.
17,개념 이해형,AI 학습에 필수적인 하드웨어로 병렬 연산 처리에 최적화된 반도체는?,CPU,GPU,RAM,HDD,1,그래픽 카드에 들어있는 칩이에요,동시에 많은 계산을 처리할 수 있어 AI 연산에 필수적입니다.,순차 처리에 특화된 컴퓨터의 두뇌입니다.,데이터를 일시적으로 저장하는 메모리입니다.,데이터를 영구적으로 저장하는 장치입니다.
18,개념 이해형,AI 연산만을 위해 설계된 전용 반도체를 일컫는 용어는?,NPU(Neural Processing Unit),SSD,Mainboard,Power Supply,0,신경망 처리에 최적화되어 있어요,인공신경망 연산을 효율적으로 처리하는 AI 전용 가속기입니다.,빠른 속도의 데이터 저장 장치입니다.,부품들을 연결하는 기본 기판입니다.,전력을 공급하는 장치입니다.
19,개념 이해형,거대 언어 모델(LLM)이 학습한 데이터의 양을 나타낼 때 주로 사용하는 단위는?,테라바이트,기가헤르츠,파라미터 수(예: 175B),인치,2,모델 내부에 저장된 지식의 양이에요,모델이 학습을 통해 얻은 지식의 양을 가늠하는 척도입니다.,단순한 저장 공간 용량의 단위입니다.,CPU의 처리 속도를 나타내는 단위입니다.,물리적 크기를 나타내는 단위입니다.
20,개념 이해형,인공지능이 인간의 지능을 뛰어넘어 스스로 진화하기 시작하는 시점을 뜻하는 용어는?,특이점(Singularity),변곡점,종착점,시작점,0,인간이 예측할 수 없는 단계예요,AI 발전이 가속화되어 인간의 통제를 벗어나는 시점입니다.,상황이나 그래프의 방향이 바뀌는 지점입니다.,일반적인 끝을 의미하는 단어입니다.,일반적인 시작을 의미하는 단어입니다.
21,개념 이해형,인간의 지시에 따라 텍스트를 이미지로 만들어주는 기술은?,Text-to-Image,Image-to-Audio,Text-to-Speech,Speech-to-Text,0,글을 그림으로 바꿔줘요,문장 묘사를 이해하여 시각적 콘텐츠를 생성하는 기술입니다.,이미지에서 소리를 추출하는 희귀한 기술입니다.,글자를 음성으로 읽어주는 기술입니다.,음성을 글자로 변환해주는 기술입니다.
22,개념 이해형,AI가 학습하지 않은 새로운 상황에 대해서도 유연하게 대처할 수 있는 '범용 인공지능'을 뜻하는 약어는?,AGI,ANI,ASI,API,0,모든 분야에서 잘하는 AI예요,모든 지적 작업에서 인간 수준의 성능을 내는 AI를 말합니다.,특정 분야만 수행하는 약인공지능입니다.,인간을 압도하는 초인공지능입니다.,프로그램 간 데이터를 주고받는 접점입니다.
23,개념 이해형,다음 중 AI의 발전으로 인해 나타나는 긍정적인 변화가 아닌 것은?,업무 생산성 향상,창작의 장벽 완화,개인 맞춤형 서비스 제공,디지털 격차의 완전한 소멸(자연적 해결),3,기술 접근성에 따라 차이가 생길 수 있어요,단순 반복 업무를 대신해 생산성이 높아집니다.,기술이 없어도 누구나 창작이 가능해집니다.,개인 취향에 맞는 정보를 제공받을 수 있습니다.,격차는 저절로 사라지지 않으며 사회적 노력이 필요합니다.
24,개념 이해형,생성형 AI가 기존의 검색 엔진과 가장 크게 다른 점은?,웹사이트 목록만 보여준다.,정보를 요약하고 새로운 콘텐츠를 직접 생성한다.,이미지 검색만 가능하다.,최신 정보만 제공한다.,1,새로운 문장을 직접 써줘요,기존 검색 엔진의 특징으로 링크 목록만 제공합니다.,정보를 종합하여 직접 문장을 쓰거나 이미지를 만듭니다.,생성형 AI는 다양한 형식의 결과물을 만들어냅니다.,학습 시점에 따라 최신 정보 반영이 늦을 수도 있습니다.
25,개념 이해형,인공지능이 데이터를 학습할 때 발생하는 윤리적 문제 중 하나로 특정 집단에 유리하거나 불리한 결과를 내는 현상은?,데이터 편향성,데이터 무결성,데이터 압축성,데이터 보안성,0,데이터 자체가 기울어져 있을 때 생겨요,학습 데이터의 편견으로 인해 차별적인 결과를 내놓는 현상입니다.,데이터가 정확하고 일관되게 유지되는 성질입니다.,데이터 용량을 줄이는 성질입니다.,허가되지 않은 접근으로부터 데이터를 보호하는 것입니다.
26,개념 이해형,오픈 소스로 공개되어 누구나 자유롭게 활용 가능한 거대 언어 모델의 예시는?,Llama (Meta),GPT-4 (OpenAI),Claude (Anthropic),Gemini (Google),0,메타에서 개발했어요,메타가 가중치를 공개하여 널리 쓰이는 오픈 모델입니다.,OpenAI의 비공개 폐쇄형 모델입니다.,앤스로픽의 비공개 폐쇄형 모델입니다.,구글의 비공개 폐쇄형 모델입니다.
27,개념 이해형,텍스트 이미지 음성을 동시에 이해하고 생성할 수 있는 AI 모델의 특징은?,멀티모달(Multi-modal),유니모달,바이모달,옴니모달,0,여러 감각 양식을 사용한다는 뜻이에요,다양한 형태의 데이터를 통합적으로 처리하는 지능입니다.,한 가지 형태의 데이터만 다루는 방식입니다.,일반적으로 쓰이지 않는 용어입니다.,일반적으로 쓰이지 않는 용어입니다.
28,개념 이해형,AI 기술의 발전 속도가 매우 빨라지는 현상을 비유적으로 표현하는 용어는?,AI 골드러시,AI 겨울,AI 침체기,AI 규제기,0,금광을 찾는 사람들처럼 몰려들어요,기술 주도권을 잡기 위해 폭발적으로 투자하고 경쟁하는 현상입니다.,성과가 나오지 않아 투자가 끊겼던 시기를 뜻합니다.,발전이 매우 더딘 정체 시기를 의미합니다.,법적 제재가 강화되는 시기를 뜻합니다.
29,개념 이해형,AI와 협업하는 크리에이터 시대에 가장 중요한 인간의 역량은?,복잡한 문법 암기,단순 반복 작업 속도,기획력과 윤리적 판단력,하드웨어 조립 능력,2,무엇을 만들지 결정하는 능력이 중요해요,문법 암기는 AI가 더 잘하는 영역입니다.,단순 반복은 AI가 대체하기 가장 쉬운 분야입니다.,기획의 방향과 결과물의 옳고 그름을 따지는 판단력이 핵심입니다.,특정 기술직의 영역으로 크리에이터의 핵심 역량은 아닙니다.
30,개념 이해형,다음 중 LLM(Large Language Model)의 특징이 아닌 것은?,방대한 텍스트 데이터를 학습함,인간의 언어를 이해하고 생성함,항상 100% 오류 없는 정보를 제공함,자연어 프롬프트로 제어 가능함,2,AI도 실수하거나 거짓말을 할 수 있어요,LLM은 이름 그대로 엄청난 양의 텍스트를 배웁니다.,인간의 언어 문맥을 자연스럽게 파악합니다.,할루시네이션(환각) 등으로 틀린 정보를 말할 수 있어 검증이 필수입니다.,일상 언어 지시문만으로도 조작이 가능합니다.
