번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1 (정답),해설2,해설3,해설4
41,프로젝트 기획,프로그램 의뢰서에 '제작 배경'을 작성하는 이유는?,AI에게 개인정보를 알리려고,제작 의도를 AI가 이해하여 더 적절한 제안을 하게 하려고,코딩 속도를 늦추려고,용량을 차지하려고,1,"""왜"" 만드는지가 중요해요",목적을 알면 AI가 그에 맞는 로직이나 디자인을 더 잘 추천합니다.,제작 배경은 기획 의도이지 개인 식별 정보가 아닙니다.,맥락을 제공하면 오히려 수정 횟수가 줄어 개발이 빨라집니다.,의미 없는 텍스트는 AI의 컨텍스트만 낭비할 뿐입니다.
42,프로젝트 기획,퀴즈 앱 기획 시 '학습 분석' 기능을 넣을 때 필요한 데이터는?,사용자의 몸무게,정답률  오답 유형  풀이 시간 등,컴퓨터 구매 날짜,현재 기온,1,공부한 기록을 분석해요,성취도를 파악하고 부족한 부분을 개선할 정보를 제공해야 합니다.,신체 정보는 교육용 퀴즈 분석에 불필요한 데이터입니다.,하드웨어 정보는 학습자의 학습 데이터와 관련이 없습니다.,환경 정보는 기획 의도에 따라 다를 수 있으나 학습 분석의 핵심은 아닙니다.
43,프로젝트 기획,앱의 '메인 컬러'를 선정할 때 기획자가 고려해야 할 사항은?,그냥 내가 제일 좋아하는 색,서비스의 목적과 타겟 사용자의 정서적 이미지,가장 비싼 색상,잉크가 적게 드는 색,1,앱의 분위기를 결정해요,앱이 전달하고자 하는 가치(예: 금융-신뢰-파란색)에 부합해야 합니다.,기획자의 개인 취향보다는 사용자의 경험이 우선입니다.,색상에 가격이 매겨지는 것은 디지털 기획에서 무의미합니다.,디스플레이 방식이므로 인쇄 잉크 절약과는 관련이 없습니다.
44,프로젝트 기획,모바일 전용 앱 기획 시 가장 중요한 조작 방식 고려 사항은?,마우스 우클릭 기능 활용,엄지손가락으로 조작 가능한 버튼 배치,키보드 단축키 위주 설계,조이스틱 연결 필수,1,손가락으로 누르기 편해야 함,스마트폰을 한 손으로 쥐고 조작할 때의 편의성을 고려해야 합니다.,모바일에는 물리적인 마우스 우클릭 개념이 없습니다.,모바일 화면에서는 가상 키보드 사용이 제한적이므로 단축키는 부적절합니다.,범용 앱에서 특정 하드웨어 연결을 필수로 기획하는 것은 위험합니다.
45,프로젝트 기획,기획 단계에서 '와이어프레임(Wireframe)'의 역할은?,실제 코드 작성,화면의 레이아웃과 구조를 단순하게 그려보기,고화질 이미지 편집,서버 구축,1,설계도면 그리기,본격적인 디자인 전에 요소들의 배치와 흐름을 확인하는 과정입니다.,와이어프레임은 그림일 뿐 작동하는 코드가 아닙니다.,화려한 그래픽 작업이 아닌 구조적 배치 작업입니다.,서버 설정은 기술적 구현 단계의 영역입니다.
46,프로젝트 기획,다크 모드' 기능을 기획에 포함하는 주된 이유는?,화면을 안 보이게 하려고,눈의 피로 감소 및 배터리 절약 등 사용자 편의,해킹 방지,글자 수 줄이기,1,밤에도 편안하게 사용해요,다양한 환경에서 사용자의 시력을 보호하고 기기 효율을 높이기 위함입니다.,다크 모드는 가시성을 높이는 설정이지 화면을 가리는 게 아닙니다.,배경색 변경은 보안(해킹 방지) 기술이 아닙니다.,시각적 테마일 뿐 텍스트의 양과는 관련이 없습니다.
47,프로젝트 기획,프로그램의 '로그아웃' 기능을 설계할 때 반드시 고려할 점은?,사용자 이름 삭제,세션이나 로컬 저장소의 로그인 정보 파기,컴퓨터 강제 종료,배경화면 초기화,1,안전하게 퇴장하기,다른 사람이 내 계정을 사용할 수 없도록 인증 정보를 지워야 합니다.,회원 탈퇴가 아닌 이상 사용자 이름을 서버에서 지울 필요는 없습니다.,프로그램 종료와 컴퓨터 시스템 종료는 별개의 권한입니다.,개인 설정인 배경화면은 로그아웃 시 초기화 대상이 아닐 수 있습니다.
48,프로젝트 기획,알림(Notification)' 기능 기획 시 주의해야 할 점은?,최대한 많이 보내기,사용자가 방해받지 않도록 적절한 시점과 빈도 조절,무조건 소리만 나게 하기,알림 내용 숨기기,1,너무 잦은 알림은 스팸이에요,과도한 알림은 사용자에게 불쾌감을 주어 앱 삭제의 원인이 됩니다.,알림이 많으면 사용자는 해당 앱의 알림을 아예 차단해버립니다.,상황에 따라 무음이나 진동 등 다양한 알림 방식이 필요합니다.,알림은 정보를 전달하는 것이 목적이므로 적절히 보여주어야 합니다.
49,프로젝트 기획,앱 내 '도움말'이나 '튜토리얼' 섹션의 기획 목적은?,광고를 노출하기 위해,처음 사용하는 사용자의 적응을 돕고 이탈 방지,코드의 길이를 자랑하기 위해,메뉴를 복잡하게 보이게 하려고,1,어떻게 쓰는지 알려줘요,사용자가 앱의 핵심 기능을 빠르게 익혀 서비스에 정착하게 합니다.,도움말은 서비스 안내용이지 광고 전용 페이지가 아닙니다.,텍스트 양은 개발자의 실력을 증명하는 척도가 아닙니다.,좋은 기획은 복잡함이 아닌 단순하고 명확한 안내를 지향합니다.
50,프로젝트 기획,서비스 기획에서 'MVP(Minimum Viable Product)'란?,가장 비싼 제품,핵심 기능만 담아 최소한의 형태로 만든 초기 제품,디자인만 완성된 제품,버그가 가득한 제품,1,핵심만 담아 빠르게 출시!,가설을 검증하기 위해 가장 중요한 기능만 넣어 빠르게 만든 버전입니다.,가격이 아닌 개발 범위에 대한 개념입니다.,기능 없이 껍데기만 있는 것은 제품으로서의 가치가 낮습니다.,고의로 버그를 넣는 것이 아니라 완성도를 높여가는 과정의 시작입니다.
51,프로젝트 기획,쇼핑몰 앱 기획 시 '장바구니' 기능의 핵심 로직은?,상품 사진 삭제,선택한 상품 정보를 일시적으로 저장하고 합계 계산,구매 이력 전체 노출,친구에게 자동 메시지 발송,1,살 물건을 임시로 담아요,구매 결정 전 상품을 모으고 최종 결제 금액을 산출하는 역할입니다.,사진을 지우는 것이 아니라 정보를 담는 것이 목적입니다.,장바구니는 미래의 구매를 위한 것이지 과거 이력을 보는 곳이 아닙니다.,공유 기능은 부가적일 뿐 장바구니의 본질적 기능은 아닙니다.
52,프로젝트 기획,프로그램 기획서에 '오류 처리(Error Handling)' 계획을 넣는 이유는?,사용자에게 겁을 주려고,예상치 못한 상황에서 프로그램이 멈추지 않게 안내하기 위해,개발 시간을 늘리려고,메모리를 낭비하려고,1,비상 상황 대처 매뉴얼,예외 상황 발생 시 사용자에게 친절히 안내하고 다음 행동을 돕기 위함입니다.,오류 안내는 정보 제공이지 공포감을 조성하는 것이 아닙니다.,초기에 계획을 잘 세우면 나중에 디버깅 시간이 단축됩니다.,효율적인 오류 처리는 자원을 아끼는 길입니다.
53,프로젝트 기획,검색' 기능 기획 시 사용자 편의성을 높이는 요소는?,검색 버튼 숨기기,자동 완성(Auto-complete) 및 최근 검색어 저장,검색 속도 일부러 늦추기,결과 무작위로 보여주기,1,더 빠르고 정확한 검색,사용자가 단어를 다 치지 않아도 원하는 결과를 찾게 돕는 것이 좋습니다.,버튼이 없으면 검색 시작 자체가 어려워집니다.,사용자는 빠른 결과를 원하며 의도적인 지연은 UX를 망칩니다.,정확도가 우선이며 무작위 노출은 검색의 목적에 어긋납니다.
54,프로젝트 기획,앱 기획에서 '폰트(Font)' 선택 시 최우선 고려 사항은?,가장 화려하고 복잡한 글꼴,가독성(글자가 잘 읽히는지 여부),가장 큰 글자 크기,영어만 예쁜 글꼴,1,정보 전달이 잘 되어야 함,서비스의 정보를 사용자가 스트레스 없이 읽을 수 있어야 합니다.,지나치게 화려한 글꼴은 오히려 읽기 힘들게 만듭니다.,무조건 큰 것보다 화면 구성에 맞는 적절한 크기가 중요합니다.,한국어 서비스라면 한글 가독성이 가장 우선되어야 합니다.
55,프로젝트 기획,기획 단계에서 '데이터베이스(DB) 구조'를 미리 생각하는 이유는?,코드를 숨기기 위해,정보들을 체계적으로 저장하고 효율적으로 불러오기 위해,하드디스크를 꽉 채우려고,인터넷 속도를 늦추려고,1,데이터의 집을 지어줘요,어떤 데이터를 어떤 형식으로 관리할지 정해야 로직 설계가 가능합니다.,DB 구조는 설계도일 뿐 코드를 숨기는 기술이 아닙니다.,효율적인 DB 설계는 오히려 저장 공간을 아껴줍니다.,잘 설계된 구조는 데이터 호출 시간을 단축시켜 앱을 빠르게 합니다.
56,프로젝트 기획,날씨 앱 기획 시 '위치 정보 활용 동의'가 필요한 이유는?,사용자의 집 주소를 수집하려고,사용자가 있는 지역의 정확한 기상 정보를 제공하기 위해,광고를 더 많이 보여주려고,핸드폰을 감시하려고,1,내 동네 날씨를 알려줘요,위치 기반 서비스를 제공하기 위한 필수적인 권한 획득 절차입니다.,특정 주소 수집보다는 기상 지역 매칭이 주 목적입니다.,부차적인 목적일 순 있으나 날씨 정보 제공이 본질적인 이유입니다.,운영체제의 보안 정책상 감시는 불가능하며 서비스 제공용입니다.
57,프로젝트 기획,기획서 작성 시 '플로우차트(Flowchart)'의 장점은?,그림 실력 향상,프로그램의 로직과 실행 순서를 시각적으로 한눈에 파악,텍스트를 안 써도 됨,컴퓨터가 바로 읽음,1,생각의 흐름을 그림으로!,조건에 따른 분기와 과정의 흐름을 명확히 하여 로직 오류를 방지합니다.,예술적 미감보다는 논리적 전달력이 중요합니다.,설명 텍스트와 플로우차트는 상호 보완적인 관계입니다.,사람이 이해하기 위한 설계도이며 컴퓨터가 직접 실행하는 코드는 아닙니다.
58,프로젝트 기획,앱의 '로딩 화면'을 기획할 때 포함하면 좋은 요소는?,잠시만 기다려 주세요' 등 상태 안내와 진행 바,검은색 화면만 보여주기,아무 메시지 없이 멈추기,앱 강제 종료 버튼,0,멈춘 게 아니라고 알려줘요,사용자가 프로그램이 작동 중임을 인지하게 하여 답답함을 줄여줍니다.,빈 화면은 사용자가 앱이 고장 났다고 오해하게 만듭니다.,진행 상태를 모르면 사용자는 앱을 꺼버릴 확률이 높습니다.,로딩 중 종료 버튼은 데이터 손실 위험이 있어 신중히 설계해야 합니다.
59,프로젝트 기획,커뮤니티 앱 기획 시 '신고' 기능을 넣는 윤리적 이유는?,다른 사람을 괴롭히기 위해,건전한 커뮤니티 환경 유지 및 부적절한 사용자 제재,운영진의 일거리를 늘리려고,서버 용량을 줄이려고,1,깨끗한 인터넷 세상을 위해,다른 사용자를 보호하고 서비스의 질을 관리하기 위한 필수 기능입니다.,신고는 보호를 위한 수단이지 괴롭힘의 도구가 아닙니다.,관리 효율을 위한 것이지 업무 방해가 목적이 아닙니다.,데이터 관리보다는 운영 정책 실현의 목적이 큽니다.
60,프로젝트 기획,바이브 코딩으로 제작한 프로젝트의 '완성' 기준은?,코드가 1000줄이 넘을 때,기획했던 핵심 기능이 오류 없이 타겟 사용자에게 전달될 때,AI가 그만 하라고 할 때,디자인이 세상에서 제일 예쁠 때,1,목적을 달성했는가?,기술적인 양보다 기획 의도가 얼마나 잘 실현되었는지가 중요합니다.,짧은 코드로도 훌륭한 기능을 구현할 수 있습니다.,완성의 판단은 주체인 인간이 내리는 것입니다.,디자인은 완성도의 일부일 뿐  기능과 목적 달성이 선행되어야 합니다.
