번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
161,윤리/저작권,AI가 생성한 뉴스나 정보의 사실 여부를 확인하는 과정인 '팩트체크'에서 가장 중요한 것은?,여러 공신력 있는 출처와 대조해보기,가장 먼저 나온 정보를 믿기,조회수가 높은 정보를 믿기,AI가 한 말이니 무조건 믿기,0,직접 눈으로 확인하고 비교해봐요,하나의 정보원만 믿지 말고 검증된 기관의 자료와 비교 검증해야 합니다.,속도보다 정확성이 중요합니다.,조회수와 진실은 별개의 문제입니다.,AI는 환각 오류가 잦으므로 맹신하면 안 됩니다.
162,윤리/저작권,공공장소에서 AI 카메라를 이용한 안면 인식 기술 사용 시 가장 우려되는 윤리적 문제는?,개인 프라이버시 침해 및 감시 사회 우려,전기 요금 증가,카메라 렌즈 오염,저장 공간 부족,0,나의 얼굴 정보가 털릴 수 있어요,동의 없는 개인정보 수집과 상시 감시 체계에 대한 근본적 위협입니다.,경제적 문제일 뿐 윤리 본질과는 거리가 있습니다.,관리상의 문제일 뿐입니다.,기술적 한계의 문제일 뿐입니다.
163,윤리/저작권,AI 기업이 사용자의 데이터를 학습에 사용할 때 반드시 거쳐야 하는 절차는?,사용자 동의 및 개인정보 처리 방침 고지,사용자의 비밀번호 수집,사용자의 오프라인 주소 방문,아무런 절차 필요 없음,0,허락을 먼저 받아야 해요,데이터의 용도와 범위를 명확히 밝히고 사용자로부터 자발적 동의를 얻어야 합니다.,불법적인 개인정보 탈취 행위입니다.,불필요하고 부적절한 절차입니다.,법적 책임을 져야 하는 위험한 생각입니다.
164,윤리/저작권,AI 생성물에 대한 저작권 귀속 주체에 대한 현재 일반적인 법적 견해는?,인간의 창작적 기여가 없으면 저작권 보호가 어려움,AI 자체가 저작권을 가짐,컴퓨터 제조사가 저작권을 가짐,전기가 저작권을 가짐,0,사람이 주인이어야 보호받아요,현재 법률 체계는 오직 인간의 창작 활동 결과물만 저작권자로 인정합니다.,AI는 법적 인격체가 아니어서 권리 주체가 될 수 없습니다.,도구를 만든 사람일 뿐 창작 주체는 아닙니다.,권리 관계와는 아무런 상관이 없습니다.
165,윤리/저작권,AI를 이용해 타인의 목소리를 무단으로 복제하여 금융 사기에 이용하는 행위는?,보이스 피싱(AI 기반),베타 테스트,오픈 소스 기여,클라우드 컴퓨팅,0,목소리를 흉내 내서 돈을 뺏어요,목소리 복제 기술(TTS)을 악용하여 지인을 사칭하는 중대한 범죄입니다.,성능을 검증하는 시험 단계입니다.,자유로운 공유와 협업 활동입니다.,인터넷 자원 공유 기술입니다.
166,윤리/저작권,AI 윤리 가이드라인에서 강조하는 '인간 중심의 AI'란 무엇인가?,AI 기술이 인간의 존엄성과 기본권을 보호하고 증진해야 함,AI가 인간보다 우월해져야 함,모든 인간이 AI 개발자가 되어야 함,AI에게 모든 권한을 넘겨야 함,0,사람이 먼저라는 가치를 지켜요,기술의 발전보다 인간의 보편적 가치 보호를 최우선 가치로 삼는 것을 뜻합니다.,기술 만능주의적인 위험한 관점입니다.,현실적이지 않은 요구입니다.,인간의 통제권을 상실하는 위험한 발상입니다.
167,윤리/저작권,AI 모델 개발 시 데이터의 투명성을 확보해야 하는 이유는?,모델의 신뢰성을 높이고 책임 소재를 명확히 하기 위해,모델을 더 복잡하게 만들기 위해,데이터를 숨기기 위해,전력 소모를 줄이기 위해,0,무엇을 배웠는지 낱낱이 공개해요,결과물의 근거를 파악하고 문제 발생 시 정당하게 대응하기 위함입니다.,복잡성은 효율과 신뢰를 떨어뜨립니다.,투명성은 은폐와 반대되는 개념입니다.,에너지 효율과는 별개의 문제입니다.
168,윤리/저작권,AI가 생성한 코드에 보안 취약점이 있을 수 있으므로 개발자가 반드시 해야 할 일은?,코드 검토 및 보안 테스트,무조건 복사해서 붙여넣기,코드 내용을 보지 않고 실행하기,다른 사람에게 그대로 전달하기,0,코드가 튼튼한지 다시 한번 살펴봐요,AI는 과거의 취약한 코드도 학습하므로 반드시 전문가의 검증을 거쳐야 합니다.,해킹의 위험에 그대로 노출되는 행위입니다.,매우 위험한 개발 습관입니다.,책임을 전가하는 무책임한 행동입니다.
169,윤리/저작권,AI를 활용한 자동화 시스템으로 인해 발생할 수 있는 사회적 문제는?,일자리 변화 및 양극화 문제,종이 사용량 증가,인구 감소,평균 수명 단축,0,내 일자리가 없어질지도 몰라요,업무 대체로 인한 실업과 기술 소유 여부에 따른 부의 격차가 심화될 수 있습니다.,디지털화로 오히려 줄어들 가능성이 큽니다.,인구 변동과는 직접적인 인과관계가 적습니다.,의료 AI 발전으로 오히려 늘어날 가능성이 큽니다.
170,윤리/저작권,AI 창작 도구를 사용할 때 '서비스 이용 약관'을 확인해야 하는 이유는?,생성물의 상업적 이용 가능 여부 및 권리 관계 확인을 위해,회원 가입을 귀찮게 하기 위해,약관의 오타를 찾기 위해,사용자의 컴퓨터 성능을 낮추기 위해,0,팔아도 되는지 저작권은 누구 건지 봐요,기업마다 저작권 정책이 다르므로 영리 목적 사용 전 반드시 확인해야 합니다.,약관의 존재 이유는 서비스 규칙 공지입니다.,약관의 본질적 목적이 아닙니다.,성능과는 관계없는 법적 계약 문서입니다.
171,윤리/저작권,AI가 그린 그림이 공모전에서 수상했을 때 발생하는 논란의 핵심은?,인간의 고유한 창작 영역과 AI의 도구적 활용 사이의 경계,그림의 파일 형식,공모전 상금의 액수,사용된 물감의 종류,0,직접 그린 것만 예술인지 묻는 거예요,창작의 주체가 누구인지에 대한 근본적인 철학적 법적 의문을 던집니다.,기술적 포맷은 본질적인 논쟁이 아닙니다.,금전적 문제는 부수적인 갈등 요소입니다.,디지털 창작이므로 물감과는 무관합니다.
172,윤리/저작권,AI 학습 데이터에서 개인 정보를 식별할 수 없도록 조치하는 것은?,익명화(Anonymization) / 가명화,고유 명사 표기,사진 인화,데이터 복제,0,누구인지 알 수 없게 가려요,개인 프라이버시를 보호하기 위해 특정인을 지목할 수 있는 정보를 삭제/대체합니다.,오히려 개인 정보를 명확히 드러내는 행위입니다.,아날로그 변환 작업입니다.,데이터의 양을 늘리는 작업입니다.
173,윤리/저작권,AI 기술을 악용하여 가짜 뉴스나 허위 정보를 유포하는 행위가 민주주의에 미치는 영향은?,정보 왜곡으로 인한 합리적 의사결정 방해,사회적 신뢰도 상승,투표율의 획기적 증가,교육 수준 향상,0,거짓 정보가 투표를 망칠 수 있어요,거짓 정보가 여론을 호도하여 민주적 합의와 올바른 판단을 불가능하게 합니다.,신뢰를 파괴하는 행위입니다.,부정적 영향을 줄 가능성이 큽니다.,사회적 혼란만 가중시킵니다.
174,윤리/저작권,AI 모델의 성능을 높이기 위해 무분별하게 데이터를 수집할 때 침해될 수 있는 권리는?,초상권 및 개인정보 자기결정권,투표권,등기권,납세의 의무,0,내 얼굴과 사생활을 지킬 권리예요,나의 정보가 어디에 어떻게 쓰이는지 직접 결정할 권리를 뺏는 것입니다.,정치적 권리로 데이터 수집과는 무관합니다.,재산권 관련 권리로 본질과 거리가 있습니다.,국민의 의무 사항입니다.
175,윤리/저작권,AI 윤리 원칙 중 '책임성'이 의미하는 바는?,AI 시스템의 오작동이나 피해 발생 시 이에 대한 책임 주체가 명확해야 함,AI가 모든 책임을 짐,사용자가 모든 책임을 짐,아무도 책임지지 않음,0,잘못되면 누가 책임질지 정해둬요,복잡한 시스템에서도 사고 발생 시 보상과 처벌의 주체를 분명히 해야 함을 뜻합니다.,AI는 법적 책임의 주체가 될 수 없습니다.,개발자나 기업의 책임을 간과하는 생각입니다.,사회적 혼란과 불신을 초래하는 무책임한 생각입니다.
176,윤리/저작권,AI가 생성한 의료 진단 결과에 대해 최종적인 판단을 내려야 하는 주체는?,전문 의료인(인간),AI 소프트웨어,보험 회사,컴퓨터 수리 기사,0,마지막 결정은 의사 선생님이 해요,생명과 직결된 판단은 반드시 인간 전문가가 내리고 그에 따른 책임을 져야 합니다.,AI는 보조 도구일 뿐 최종 판단자가 아닙니다.,비전문가이며 이익 단체의 성격이 강합니다.,의료 전문성이 없습니다.
177,윤리/저작권,AI 기술의 혜택이 특정 계층에만 집중되지 않도록 하는 윤리적 가치는?,공정성 및 포용성,효율성,수익성,신속성,0,모두가 골고루 혜택을 누려야 해요,소외되는 사람 없이 누구나 기술의 발전을 누릴 수 있어야 한다는 보편적 가치입니다.,자본과 속도 중심의 가치입니다.,경제적 이익 중심의 가치입니다.,처리 속도 중심의 가치입니다.
178,윤리/저작권,AI와 인간의 협업 시 인간이 가져야 할 태도로 가장 적절한 것은?,AI를 유용한 도구로 활용하되 비판적으로 검토하고 최종 판단하기,AI의 말은 무조건 정답이라고 믿기,AI를 전혀 사용하지 않기,AI에게 모든 기획과 실행을 전적으로 맡기기,0,AI를 잘 부리는 주인이 되어야 해요,AI의 한계를 인지하고 주체적으로 결과물을 검증하여 결정권을 유지해야 합니다.,할루시네이션 위험을 간과한 위험한 태도입니다.,시대적 흐름과 생산성 향상을 거부하는 고립된 태도입니다.,창의성과 책임감을 포기하는 주객전도된 태도입니다.
179,윤리/저작권,AI 정보의 신뢰성을 확보하기 위해 여러 출처를 대조하는 과정은?,데이터 마이닝,교차 검증(Cross-check),업로딩,인코딩,1,이 말이 진짜인지 저기서도 확인해요,단일 소스에 의존하지 않고 여러 독립된 정보원과 비교하여 사실을 확인합니다.,데이터 속 패턴을 찾는 기술입니다.,파일 전송 과정입니다.
180,윤리/저작권,다음 중 AI 창작 윤리 수칙으로 부적절한 것은?,당사자 동의 없는 합성 금지,AI 생성 여부 및 출처 명시,확인되지 않은 정보의 재배포 자제,AI가 만든 결과물은 무조건 사실로 믿기,3,AI도 틀릴 수 있다는 걸 잊지 마세요,타인의 인격권을 보호하는 필수 수칙입니다.,투명성 확보를 위한 기본적인 예의입니다.,가짜 뉴스 확산을 막기 위한 성숙한 시민 의식입니다.,AI의 오류 가능성을 무시하는 가장 위험한 태도입니다.
