번호,유형,질문,보기1,보기2,보기3,보기4,정답,힌트,해설1,해설2,해설3,해설4
41,바이브 코딩,AI에게 코딩 명령을 내릴 때 가장 효과적인 말투는?,알아서 잘 만들어줘,로그인 기능이 있는 웹사이트를 HTML/CSS로 만들어줘. 버튼은 파란색으로 해줘.,코딩해,(침묵),1,구체적으로 시킬수록 잘해요,모호한 명령은 AI도 혼란스럽게 만듭니다.,목적과 기술 디자인 요구사항을 명확히 전달해야 합니다.,정보가 너무 부족하여 원하는 결과가 나오지 않습니다.,지시가 없으면 결과물도 없습니다.
42,바이브 코딩,바이브 코딩 결과물을 실제 서비스로 배포하기 전 보안상 가장 주의해야 할 점은?,API 키나 개인 정보가 코드에 포함되어 있는지 확인,배경 이미지의 용량,폰트의 이름,파일의 이름,0,비밀번호 같은 게 노출되면 안 돼요,AI가 생성한 코드에 중요한 보안 정보가 노출됐는지 꼭 확인해야 합니다.,성능 최적화 요소이지 보안 이슈는 아닙니다.,디자인 요소로 보안과는 무관합니다.,정리 방식의 문제이지 보안과는 무관합니다.
43,바이브 코딩,바이브 코딩 프로세스 중 "가이드라인 설정" 단계에서 포함되어야 할 내용은?,사용할 프로그래밍 언어 및 프레임워크 지정,개발자의 점심 메뉴,사무실 온도 설정,키보드의 종류,0,어떤 도구를 쓸지 미리 정해요,본격적인 작업 전 기술 스택과 규칙을 정하는 중요한 단계입니다.,프로젝트와는 상관없는 개인적인 일입니다.,작업 환경일 뿐 소프트웨어 규칙은 아닙니다.,하드웨어 도구일 뿐 소프트웨어 규칙은 아닙니다.
44,바이브 코딩,Replit Agent와 같은 도구의 가장 큰 장점은?,기획부터 배포까지의 전 과정을 대화만으로 수행할 수 있음,게임만 전문적으로 만듦,하드웨어 성능을 높이지는 않음,종이 문서를 스캔함,0,대화만으로 앱이 뚝딱 나와요,높은 편의성으로 복잡한 개발 과정을 하나로 통합해줍니다.,다양한 앱 제작이 가능하며 특정 장르에 한정되지 않습니다.,소프트웨어 서비스이므로 물리적 성능 향상과는 무관합니다.,디지털 작업 위주의 도구입니다.
45,바이브 코딩,바이브 코딩에서 AI가 코드를 작성하는 동안 인간이 수행하는 '코드 리뷰'의 목적은?,AI의 타이핑 속도 측정,코드의 논리적 흐름과 사용자 경험(UX)의 적절성 판단,오타 찾기 대회,단순한 시간 때우기,1,AI가 실수하지 않았는지 살펴봐요,AI 결과물이 기획 의도와 맞는지 인간의 관점에서 평가하기 위함입니다.,타이핑 속도는 중요한 평가 요소가 아닙니다.,논리적 결함과 UX 검토가 더 본질적인 목적입니다.,성공적인 프로젝트를 위한 필수 협업 과정입니다.
46,바이브 코딩,"최소 기능 제품(MVP)"을 바이브 코딩으로 빠르게 만드는 이유는?,아이디어를 빠르게 시각화하고 검증하여 사용자 반응을 살피기 위함,가장 비싼 프로그램을 만들기 위해,코드를 최대한 길게 짜기 위해,사용자를 혼란스럽게 하기 위해,0,빨리 만들어서 반응을 봐요,가장 핵심적인 기능만 구현하여 기획의 타당성을 즉시 확인합니다.,비용을 아끼고 효율을 높이는 전략입니다.,간결한 코드가 좋은 코드입니다.,사용자에게 가치를 주는 것이 목표입니다.
47,바이브 코딩,AI가 제안한 코드가 너무 복잡할 때 바이브 코더가 요청할 수 있는 사항은?,"코드를 더 간결하고 읽기 쉽게 리팩토링해줘.",코드를 더 복잡하게 만들어줘.,외국어로 바꿔줘.,코드를 삭제해줘.,0,간단하고 깔끔하게 고쳐달라고 하세요,불필요한 부분을 쳐내고 가독성을 높이는 것이 유지보수에 유리합니다.,복잡한 코드는 버그를 유발하기 쉽습니다.,언어 변경은 가독성 해결책이 아닙니다.,삭제보다는 개선을 요청하는 것이 생산적입니다.
48,바이브 코딩,바이브 코딩에서 '모듈화'를 요청하는 이유는?,기능을 독립된 단위로 나누어 유지보수와 관리를 쉽게 하기 위해,파일 개수를 무조건 늘리기 위해,AI의 기억력을 테스트하기 위해,디자인을 화려하게 하기 위해,0,레고 블록처럼 기능을 나눠요,독립적인 구조로 짜면 수정 시 다른 곳에 미치는 영향을 줄일 수 있습니다.,파일 개수보다 구조의 효율성이 중요합니다.,테스트용이 아닌 관리 편의를 위한 공학적 설계입니다.,디자인보다는 내부 구조 관련 용어입니다.
49,바이브 코딩,AI가 생성한 웹페이지가 모바일에서도 잘 보이게 하고 싶을 때 사용하는 키워드는?,반응형 웹(Responsive Web),고정형 웹,오프라인 웹,하드웨어 웹,0,폰에서도 예쁘게 나와야 해요,화면 크기에 따라 레이아웃이 자동으로 변하는 기술입니다.,화면 크기가 고정되어 모바일에서 보기 불편합니다.,인터넷 연결 여부에 따른 구분입니다.,물리적 장치와 관련된 용어입니다.
50,바이브 코딩,바이브 코딩 중 AI에게 "이 코드가 왜 이렇게 작동하는지 설명해줘"라고 묻는 것의 이점은?,개발자의 학습과 코드에 대한 이해도 향상,AI를 괴롭히기 위함,컴퓨터 용량 확보,인터넷 속도 향상,0,AI에게 원리를 배워보세요,설명을 통해 개발자가 코드를 완벽히 통제하고 역량을 키울 수 있습니다.,AI는 질문을 받아도 괴로워하지 않으며 학습에 도움을 줍니다.,파일 크기나 저장 공간과는 무관합니다.,네트워크 성능과는 관련이 없습니다.
51,바이브 코딩,프로젝트의 요구사항이 바뀔 때 바이브 코더가 취해야 할 올바른 태도는?,변경된 기획안을 바탕으로 AI에게 수정을 요청함,처음부터 다시 손으로 짬,변경을 거부함,AI를 탓함,0,바뀐 내용을 AI에게 다시 알려줘요,변화에 유연하게 대응하며 AI와 소통하여 코드를 갱신합니다.,AI를 활용하는 것이 훨씬 빠르고 효율적입니다.,기획 변경은 개발 과정에서 흔히 일어나는 일입니다.,탓하기보다 해결책을 함께 찾는 것이 디렉터의 태도입니다.
52,바이브 코딩,바이브 코딩 도구 중 브라우저에서 즉시 코드를 실행하고 미리보기할 수 있는 환경을 무엇이라 하는가?,IDE (통합 개발 환경) 또는 Sandbox,하드디스크,그래픽 카드,전원 장치,0,별도 설치 없이 바로 확인해요,로컬 설치 없이 웹에서 바로 결과를 테스트하는 편리한 환경입니다.,데이터를 저장하는 물리 장치입니다.,화면을 처리하는 장치입니다.,전기를 공급하는 장치입니다.
53,바이브 코딩,코딩 과정에서 AI가 "어떤 방식을 선택할까요?"라고 되물을 때 디렉터의 판단 기준은?,프로젝트의 목적과 사용자 편의성,동전 던지기,가장 어려운 방식,아무거나 선택,0,사용자에게 가장 좋은 걸 골라요,사용자가 얻을 가치와 프로젝트의 최종 지향점을 기준으로 결정합니다.,비논리적인 의사결정 방식입니다.,효율성을 저해하는 선택입니다.,책임감 없는 태도입니다.
54,바이브 코딩,바이브 코딩에서 디자인 소스(이미지 등)를 준비하는 가장 현대적인 방법은?,생성형 AI(미드저니 DALL-E 등)를 활용해 필요한 이미지를 생성함,직접 그림판으로 그림,잡지를 오려 붙임,사진을 직접 찍으러 감,0,이미지도 AI로 만들면 빨라요,컨셉에 딱 맞는 고퀄리티 이미지를 즉석에서 확보할 수 있습니다.,시간이 오래 걸리고 퀄리티 확보가 어려울 수 있습니다.,아날로그 방식은 디지털 제작 효율이 낮습니다.,특수한 경우를 제외하면 AI 생성이 훨씬 빠릅니다.
55,바이브 코딩,작성된 코드를 다른 언어(예: Python -> JavaScript)로 변경하고 싶을 때 AI에게 내리는 명령은?,코드 변환(Conversion) 또는 포팅(Porting) 요청,삭제 요청,복사 요청,정지 요청,0,다른 언어로 번역해달라고 하세요,문법 차이를 AI가 자동으로 계산하여 다른 환경에 맞게 바꿔줍니다.,내용을 없애는 명령입니다.,단순히 똑같이 하나 더 만드는 것입니다.,수행 중인 작업을 멈추는 것입니다.
56,바이브 코딩,바이브 코딩 결과물의 성능이 느릴 때 AI에게 요청할 수 있는 개선 사항은?,성능 최적화(Optimization) 요청,폰트 크기 확대,배경색 변경,파일 이름 변경,0,더 빠르게 돌아가게 고쳐줘요,불필요한 계산을 줄이고 효율적인 알고리즘으로 개선하도록 시킵니다.,가독성 문제이지 처리 속도와는 무관합니다.,디자인 변경으로 성능에 영향을 주지 않습니다.,정리 방식일 뿐 실행 속도와는 무관합니다.
57,바이브 코딩,AI와 협업하여 코딩할 때 '질문의 구체성'이 결과물에 미치는 영향은?,질문이 구체적일수록 의도에 가까운 결과물이 나옴,아무런 영향이 없음,질문이 짧을수록 좋음,질문을 안 할수록 좋음,0,자세히 말할수록 똑똑하게 답해요,상황과 요구사항을 상세히 줄수록 AI는 더 정교하게 코드를 짭니다.,질문의 질이 결과의 질을 결정합니다.,너무 짧으면 AI가 의도를 멋대로 추측할 수 있습니다.,소통량이 적으면 원하는 결과를 얻기 힘듭니다.
58,바이브 코딩,바이브 코딩의 최종 단계에서 "문서화(Documentation)"를 요청하는 목적은?,프로그램의 사용법과 코드 구조를 나중에도 알 수 있게 하기 위해,파일 용량을 늘리기 위해,종이 낭비를 위해,AI의 글쓰기 실력 테스트,0,나중에 봐도 알 수 있게 기록해요,코드의 기능과 유지보수 방법을 기록하여 지속 가능한 관리를 돕습니다.,파일 크기를 키우는 것은 이점이 아닙니다.,환경 보호와는 무관하며 디지털 문서 중심입니다.,학습이 주된 목적이지 테스트가 본질은 아닙니다.
59,바이브 코딩,바이브 코딩에서 "AI에게 역할을 부여하고 출력 형식을 지정하는 것"을 무엇이라 하는가?,디자인 정리,가이드라인 설정,기능 추가,오류 수정,1,작업의 규칙과 역할을 정해요,전문가 페르소나를 주고 출력 포맷을 약속하는 필수 기초 단계입니다.,시각적 요소 보완 작업입니다.,실제 기능을 코딩하는 단계입니다.,잘못된 곳을 바로잡는 사후 조치입니다.
60,바이브 코딩,다음 중 바이브 코딩의 장점이 아닌 것은?,비전공자도 빠르게 프로토타입을 만들 수 있다.,복잡한 문법 학습의 장벽을 낮춰준다.,코드의 논리적 구조를 전혀 몰라도 완벽한 프로그램을 유지보수할 수 있다.,아이디어를 시각화하고 구현하는 속도가 매우 빠르다.,2,기본적인 구조는 알아야 고칠 수 있어요,문턱을 낮추어 비전문가도 창작이 가능케 합니다.,세세한 문법 암기 부담을 덜어줍니다.,구조를 전혀 모르면 AI 오류를 판단하거나 기능을 확장하기 어렵습니다.,생각을 즉시 결과물로 만드는 속도가 혁신적입니다.
